disease,treatment
CHRONIC PANCREATITIS,"treatment
 Avoidance of alcohol, low fat, Low protein diet
Pharmacological treatment
 Enteric coated pancreatic enzymes, for replacement of pancreatic function,
134
Gastrointestinal Diseases
 Inj. diclofenac sodium 75 mg IM 8 hourly and gradually proceeding towards opioid
analogue like Inj. tramadol 50 mg
 Inj. pantoprazole 40 mg IV 12 hourly
Surgical treatment
 Indicated in severe pain non responding to pharmacological therapy
 Peustaw procedure ( LPJ, Longitudinal Pancreatico-jejunostomy), Frey's procedure ( LPJ
with coring out of head ), Duval procedure ( Distal Pancreatico-jejunostomy ), Distal
pancreatectomy, for lesion confined to body and tail,
 Duodenum preserving pancreatic head resection, DPPHR, Beger's procedure, for lesion
confined to head region. Endoscopic stenting, for obstruction in pancreatic duct, coeliac
block, for patients unfit for surgery."
CONSTIPATION,"treatment. The important secondary causes
may include neurological, hormonal, colonic, malignancy, depression. Secondary causes
should be looked for in case of recent onset or constipation of severe symptoms.
Salient features
 Constipation is defined as decrease in frequency and liquidity of stool compared to the
normal pattern in a particular individual.
 Important complaints suggesting constipation include straining at defaecation >25% of
time, lumpy/hard stools, sensation of incomplete evacuation, or less than 3 bowel
actions per week.
Non-pharmacological treatment
 Reassurance-since many patients with normal stools and in pregnancy, imagine that they
are constipated.
 High fiber diet and increased intake of fluid with decrease in consumption of caffeinated
drinks.
 Retraining of bowels (avoiding suppression of urge to defecate, making a regular habit).
 Bulk forming agents like 'isapghula husk' or 'psyllium seeds' also help to relieve mild
constipation.
 Regular physical exercise such as walk for 1/2 to 1 hour daily and abdominal exercises.
Pharmacological treatment
(Usually required for moderate to severe constipation).
 Lactulose Soln 15-20 ml orally at night. Or Susp. magnesium sulphate 15-20 ml at night.
Or Tab. sodium picosulphate 10 mg at night. Or
135
Gastrointestinal Diseases
 Isotonic polyethylene glycol (PEG) electrolyte solution 125-250 ml.
 Any of these may be given 2-4 times a week. Some patients may require treatment for
several weeks or months if there is no improvement.
 Tab. mosapride 5 mg 2 or 3 times a day. In some patients may be required for several
weeks.
 Phosphate enemas to be used on as and when required basis in patients having acute
problem with severe constipation or sub-acute intestinal obstruction."
AMOEBIC LIVER ABSCESS,"treatment
 High glucose diet, Low protein diet
136
Gastrointestinal Diseases
Pharmacological treatment
 Tab. metronidazole 800 mg TDS for 2 weeks followed by Tab. diloxanide furoate 500 mg
BD for 10 days.
 Inj. diclofenac sodium 75 mg IM 8 hourly.
 Inj. pantoprazole 40 mg IV 12 hourly.
 Vit.K injections if PT/APTT is altered.
Surgical treatment
 Amoebic liver abscess usually does not require drainage. Percutaneus aspiration can be
done in abscess having large size (>100 cc).
 Exploratory laparotomy with drainage of abscess is required in suspected ruptured liver
abscess"
PYOGENIC LIVER ABCESS,"treatment
 High glucose diet, low protein diet
Pharmacological treatment
 Inj. ceftrioxone 1-2 g IV BD
 Inj. diclofenac sodium 75 mg IM 8 hourly
 Inj. pantoprazole 40 mg IV 12 hourly
 Vit.kinjections if PT/APTT are altered
Surgical treatment
 Percutaneous aspiration can be done in abscess cavity and usually requires 2-3 settings of
aspirations done alternate day. Percutaneus pigtail catheter can be used to avoid repeated
aspirations. Laparoscopic drainage of liver abscess if site of abscess permits.
 Exploratory laparotomy with drainage of abscess is required in suspected ruptured liver
abscess.
137
Chapter 9"
TETANUS,"management depends on grade.
Investigations
 Clinical - culture of C. tetani from a wound provides supportive evidence. The few
conditions that mimic generalized tetanus include strychnine poisoning and dystonic
reactions to antidopaminergic drugs. Abdominal muscle rigidity is characteristically
continuous in tetanus but is episodic in the latter two conditions. Cephalic tetanus can be
confused with other causes of trismus, such as oropharyngeal infection.
 Hypocalcemia and meningoencephalitis are included in the differential diagnosis of
neonatal tetanus.
Grading
 Mild or grade 1 –muscle rigidity with few or no spasms.
 Moderate or grade 2-trismus, dysphagia, rigidity and short lasting spasms.
 Severe or grade 3- frequent explosive spasms, autonomic dysfunction particularly
sympathetic over activity may be present.
 Very severe or grade 4- features of grade 3 plus violent autonomic disturbances involving
the CVS –severe hyper or hypotension.
Non-pharmacological treatment
 Admit in a quiet room orICU with minimum stimulation.
 Protection of airways (intubation/tracheostomy) with or without mechanical ventilation.
Monitorcardiovascular parameters.
 Cleaning/exploration/debridement of wound
 Maintain hydration and enteral/parentral nutrition with high calorie and high protein diet.
Pharmacological treatment
Grade 1
 Tab. diazepam 5-20 mg 3 times a day; slow IV infusion in moderate to severe tetanus; not
exceed a dose of 80-100mg in 24 hours.
 If spasms not controlled, Inj. phenobarbitone 200mg IM every 8-12 hours or Inj.
chlorpromazine 50 mg IM in adults 4 times a day.
138
Infections
 The ideal sedative and muscle relaxant schedule for each patient should be individualized.
An objective guide to decrease in rigidity is relaxation of abdominal muscles.
Grade 2
 Tracheostomy
Grade 3 and 4
 Ventilatory support
 Inj.pancuronium 2-4mg or gallamine 20-40mg IV.
 If hypotension, give vasopressor support and ifhypertension, give antihypertensive.
 For bradyarrythmias, Inj.atropine 0.6-1.2 mg IV.
In addition,give following to all patients;
 Inj. crystalline 2 mega units 6 hourly IV for 10 days or Inj. metronidazole 500mg 8 hourly
or 1gm 12 hourly. Requirement may be according to theinfected wound.
 Inj. human tetanus immunoglobulin (TIG) 3000-5000 units IV or IM or Inj. equine
antiserum 10000 units by slow IV injection after sensitivity test when human TIG is not
available.
 Antiserum should be given before local manipulation of the wound."
LEPTOSPIROSIS,"treatment
 All clinically suspected leptospirosis patients in endemic area during rainy season should
be given presumptive treatment of leptospirosis and malaria. Tab. doxycycline 100 mg
139
Infections
twice daily for 7 days and Tab. chloroquine 600mg (base) stat followed by 600 mg after
24 hours and 300 mg after another 24 hours in malaria endemic areas in adults.
Note: In children less than 6 years 30-50 mg/kg/day of Cap. amoxicillin / Cap. ampicillin
should be given in divided doses 6 hourly for 7 days in place of doxycycline.
Definitive treatment
 Inj. crystalline penicillin 20 lacs IU IV 6 hourly after negative test dose (ANTD) for 7
days. For children the dose of crystalline penicillin should be 2-4 lacs IU/kg/day for 7
days.
 For penicillin sensitive patients, Inj.ceftrioxone 1 gm IV. once daily for 7 days or
Inj.cefotaxime 1 gm. IV. 6 hours daily for 7 days
Symptomatic and supportive treatment
 Care of fluid and electrolyte balance. Hypovolemia and hypotension need prompt
treatment with IV fluids. Patients with oligouria, if prerenal azotemia is suspected,
prompt diuresis should be attempted with fluid therapy.
 Headache and myalgia to betreated with analgesic. Fever with antipyretic.
 Restlessness and anxiety with sedatives and anemia with blood transfusion.
 Peritoneal dialysis has been found to be safe, simple and effective procedure for
management of renal failure due to leptospirosis. If there is contraindication to peritoneal
dialysis, hemodialysis can be done."
CHOLERA,"treatment
 ORS may be made by adding safe water to prepackaged sachets containing salts and
sugar or by adding 0.5 teaspoon of table salt (NaCl; 3.5 g) and 4 tablespoons of table
sugar (glucose; 40 g) to 1 L of safe water.
 Potassium intake in bananas or green coconut water should be encouraged.
Pharmacological treatment
 Euvolemia should first be rapidly restored, and adequate hydration should then be
maintained to replace ongoing fluid losses (Table 1&2).
 WHO recommends ""low-osmolarity"" ORS for treatment of dehydrating diarrhea. If
available, rice-based ORS is considered superior to standard ORS in the treatment of
cholera. ORS can be administered via a nasogastric tube to individuals who cannot ingest
fluid.
 Optimal management for severe dehydration includes the administration of IV fluid and
electrolytes. Ringer's lactate is the best choice among commercial products. It must be
used with additional potassium supplements, preferably given by mouth. The total fluid
deficit in severely dehydrated patients (>10% of body weight) can be replaced safely
within the first 3–6 h of therapy, half within the first hour. Transient muscle cramps and
tetany are common. Thereafter, oral therapy can usually be initiated, with the goal of
maintaining fluid intake equal to fluid output.
 Patients with continued large-volume diarrhea may require prolonged IV treatment to
match gastrointestinal fluid losses. Severe hypokalemia can develop but will respond to
potassium given either IV or orally. In the absence of adequate staff to monitor the
patient's progress, the oral route of rehydration and potassium replacement is safer than
the IV route.
Table 1.Assessing the Degree of Dehydration in Patients with Cholera
Degree of Dehydration Clinical Findings
None or mild, but diarrhea Thirst in some cases; <5% loss of total body weight
Moderate Thirst, postural hypotension, weakness, tachycardia,
decreased skin turgor, dry mouth/tongue, no tears; 5–10%
loss of total body weight
141
Infections
Severe Unconsciousness, lethargy, or ""floppiness""; weak or absent
pulse; inability to drink; sunken eyes (and, in infants,
sunken fontanelles); >10% loss of total body weight
Table2.Treatment of Cholera, Based on Degree of Dehydration
Degree of Dehydration, Treatment
Patient's Age (Weight)
None or Mild, but Diarrhea
<2 years 1/4–1/2 cup (50–100 ml) of ORS, to a maximum of 0.5
L/d
2–9 years 1/2–1 cup (100–200 ml) of ORS, to a maximum of 1 L/d
More than 10 years As much ORS as desired, to a maximum of 2 L/d
Moderate
<4 months (<5 kg) 200–400 ml of ORS
4–11 months (5–<8 kg) 400–600 ml of ORS
12–23 months (8–<11 kg) 600–800 ml of ORS
2–4 years (11–<16 kg) 800–1200 ml of ORS
5–14 years (16–<30 kg) 1200–2200 ml of ORS
15 years (≥30 kg) 2200–4000 ml of ORS
Severe
All ages and weights IV fluid replacement with Ringer's lactate (or, if not
available, normal saline): 100 ml /kg in first 3-h period
(or first 6-h period for children <12 months old); start
rapidly, then slow down; total of 200 ml/kg in first 24 h;
continue until patient is awake, can ingest ORS, and no
longer has a weak pulse
 Tab. doxycycline (a single dose of 300 mg) or tetracycline (12.5 mg/kg four times a day
for 3 days) may be effective in adults but is not recommended for children <8 years of
age because of possible deposition in bone and developing teeth. Pregnant women and
children are usually treated with erythromycin or azithromycin (10 mg/kg in children)."
INFLUENZA INFECTION,"treatment
The guiding principles are:
 Early implementation of infection control precautions to minimize nosocomical /
household spread of disease
 Prompt treatment to prevent severe illness & death.
 Early identification and"
HIV AND AIDS,"treatment
Pulmonary TB Start ART irrespective of any Start ATT first;
(Stage III) clinical stage Start ART as soon as
Extra pulmonary TB and TB treatment is tolerated
(Stage IV) irrespective of CD4 counts after2 wks &before 2mth.
Table 5. Initiation of ART in PLHIV with Hepatitis B or Hepatitis C Co-infection
Co-infection WHO Clinical Staging CD4 (cells/cu.mm)
HIV-HBV or HIV-HCV I and II Start ART at CD4 Count <350
co-infection without III & IV Start ART irrespective
evidence of chronic active of CD4 Count
Hepatitis
HIV-HBV or HIV-HCV All Clinical stages Start ART Irrespective
co-infection with of anyCD4 count
documented evidence of
chronic active Hepatitis
147
Infections
Table 6. First line ART Regimens National AIDS Control Organization (NACO)
Guidelines 2009
Regimen National ART Regimen Preference
Regimen I Zidovudine + Lamivudine + Preferred regimen
Nevirapine for patients with Hb >9 gm/dl
Regimen I (a) Tenofovir + Lamivudine + For patients with Hb <9 gm/dl
Nevirapine
Regimen II Zidovudine + Lamivudine + Preferred for patients on anti-
Efavirenz tuberculosis treatment, if Hb >9
gm/dl
Regimen II (a) Tenofovir + Lamivudine + For patients on anti-tuberculosis
Efavirenz treatment and Hb <9 gm/dl
Table 7. Second line ART Regimen for Adults and Adolescents in India
Second Dosage Dosing schedule
Line ARVs
Fixed dose combination 0–0–1
TDF + 3TC
of TDF 300 mg + 3TC 300 mg (One tablet in the night)
0–0–1
Cap. atazanavir 300 mg
(One tablet in the night)
ATV/r
0–0–1
Tab.ritonavir 100 mg
(One tablet in the night)"
OPPORTUNISTIC INFECTIONS,"management of common opportunistic infections is given herewith.
I. PNEUMOCYSTIS CARINII PNEUMONIA (PCP)
Pneumocystis Carinii is a fungus that infects the lungs
Salient features
 Sub-acute onset of symptoms over a period of weeks.
 Typically fever, dry cough and progressive difficulty in breathing, also weight loss, night
sweats and fatigue.
Investigations
 X-ray
 Induced sputum examination or bronchoscopy, CD-4 count <200
148
Infections
Pharmacological treatment
 Severe disease – hospitalization, intravenous trimethoprim/sulphamethoxazole
(TMP/SMX) (15mg/kg/day for 21 days), supplemental oxygen for patients with severe
hypoxemia (PaO2 < 70 mmHg breathing room air at rest). Corticosteroids, prednisolone,
40 mg twice daily for 5 days followed by 40 mg once daily for 5 days, followed by 20 mg
once daily for 11 days.
 For moderate disease, an oral agent may be used on outpatient basis, although
hospitalization should be considered. While mild cases, oral TMP/SMX can be given as
above.
Preventive therapy
 Tab. dapsone 100 mg once a day for 21 days –preferred second-line option.
 Tab. clindamycin 450 mg 4 times a day + primaquine 15 mg once daily for 21 days.
 Tab. atovaquone 750 mg once a day for 21 days.

Inj. pentamidine (intravenous) 3-4 mg/kg/day for 21 days.
II. OESOPHAGEAL CANDIDIASIS
Candidiasis is a fungal infection that frequently occurs in the mouth and vagina. It is
considered to be an opportunistic infection when it occurs in the oesophagus.
Salient features
 Difficulty in swallowing or retrosternal discomfort. Weight loss is common
 CD4 count < 100
 Usually made directly in presence of oral candidiasis and dysphagia. Endoscopy is indicated
who fail to respond to a clinical trial of appropriate treatment.
 The diagnosis of esophageal candidiasis should be reconsidered if oral candidiasis is not
present.
 Associated fever and oral ulceration are not common.
Pharmacological treatment
 Preventive therapy: not recommended because current drugs effectively treat
(prophylaxis) disease
 Antifungal resistance may develop and drug-drug interactions may occur
 Tab. fluconazole 100-400 mg once a day for 2 weeks is the treatment of choice.
Alternative treatment is Inj. amphotericin B 0.3 -0.5 mg/kg/day.
 Maintenance therapy by Tab. fluconazole 50 –100 mg once a day
 Stopping maintenance therapy when there is evidence that patient who achieves CD4
counts > 100 on ART may cease treatment.
149
Infections
III.CRYPTOCOCCOSIS
Cryptococcosis is a fungus that is inhaled and can cause meningitis.
Salient features
 Headache, nausea, fever, malaise, altered mental status, irritability and seizures, cough, chest
pain, breathlessness
 Presentation: Sub-acute with progressive symptoms over weeks to months or acute with
symptoms over days.
 CD4 count: < 100
Investigations
 Lumbar puncture to test for the presence of Cryptococcus or cryptococcal antigen in
cerebral spinal fluid. ICP is often raised.
 CSF protein and glucose are generally normal and there may be few white blood cells.
Pharmacological treatment

Inj. amphotericin B 0.5 – 0.8 mg/kg/day + flucytosine 100 mg/day 4 times a day for 2
weeks then 8 to 10 weeks. Alternative treatment is liposomal amphotericin.

Maintenance therapy by flucanozole 200 mg once a day. Cohort studies suggest that
maintenance therapy can be ceased in patients with sustained CD4 response to ART (CD4
> 200) for > 3 months
IV.TOXOPLASMOSIS
Toxoplasmosis is a parasite that has a predilection for the brain.
Salient features
 Altered mental state (confusion, unusual behavior), headaches, fever, seizures, paralysis,
coma.
 Presentation: acute to sub acute over days to weeks, CD4 count <100
Investigations
 Typical appearance on CT or MRI scans.
 Diagnosis is usually presumptive on the basis of appearance on scan. May show ring
shaped contrast enhancing lesions.
Pharmacological treatment

Tab. pyrimethamine 100 – 200 mg loading dose and then 50 – 75 mg once a day given in
combination with sulphadiazine 4 – 6 g/day, 4 times a day or Tab. clindamycin 2 – 4
g/day, 4 times a day for 6 – 8 weeks duration depending upon response. If sulphadiazine
is used, Tab. folinic acid 25 mg once a day should be given in the presence of cerebral
edema.
150
Infections

Alternative treatment: pyrimethamine in combination with one of the following: Tab.
azithromycin 1 – 15 mg/day or Tab. atovaquone 3 g/day or Tab. dapsone 100 mg/day or
Tab. clarithromycin 2 g/day
 Maintenance therapy is therapy by Tab. pryimethamine (25 – 75 mg once a day) +
sulphadiazine (50 –100 mg 4 times a day for several days with leucovorin)"
AMOEBIASIS (INTESTINAL),"treatment
 Asymptomatic cyst passers- Tab. diloxanide furoate 500 mg TDS for 10 days
 Acute amoebic dysentery and chronic infection
Tab. metronidazole 400 – 800 mg 8 hourly PO for 10 days. In children 15 mg/kg divided
in three doses for 7 days or Tab. tinidazole (300 mg, 500 mg and 1 g) 2 g orally as single
-
dose. In children 50 mg/kg/day in three divided doses for 10 days
Followed by Tab. diloxanide furoate 500 mg 8 hourly for 10 days
-"
GIARDIASIS,"treatment
 Tab. tinidazole 2 g as single dose in adults. In children 50 mg/kg as a single dose Or
 Tab. metronidazole 400 mg every TDS for 7 days in adults. In children 15 mg/kg divided
in three doses for 7 days.
Patient education
 Infections spread by ingestion of food or water contaminated with cysts. Properly cooked
food, use of clean drinking water, proper sanitation and good personal hygiene- hand
washing with soap after defecation and before meals may prevent infection.
 Infection can be minimized by avoiding unpeeled fruits and vegetables.
 Side effects are usually mild and transient and include nausea, vomiting, abdominal
discomfort, metallic taste and a disulfiram like reaction, therefore, avoid use of alcohol
during treatment."
HOOKWORM INFESTATION,"treatment
 Tab. mebendazole 100mg BD for 3 days in children above 2 years of age.
(Caution: contraindicated in children less than 2 years) or
 Tab.pyrantel pamoate (250mg); once daily for 3 days.
(Caution; not used in children below 1 year of age)
 In children more than 1 year, susp. pyrental palmoate 10mg/kg as a single dose or Tab
albendazole 400mg to be given as a single dose. In children between 1-2 years of age
syrup albendazole 200mg as a single dose. In children more than 2 years of age syrup
albendazole 400 mg as a single dose.
152
Infections
Patient education
 Hookworm infestation occurs through skin penetration by the infective larvae.
 The disease can be prevented by use of boots and gloves while working in the fields."
ASCARIASIS (ROUNDWORM INFESTATION),"treatment
 Tab mebendazole 100 mg 12 hourly for 3 days in children above 2 years of age. (Caution:
contraindicated in children < 2 years)
 Tab. pyrantel pamoate 11 mg/kg as a single dose or Tab. albendazole 400 mg as a single
dose. In heavy infestation, however, a 2-3 day course is indicated. (Caution:
contraindicated in pregnancy)
 In children between 1 – 2 years of age Syr. albendazole 200 mg as a single dose. In
children more than 2 years, Syr. albendazole 400 mg as a single dose.
Patient education
Proper sanitation and good personal hygiene- hand washing with soap after defecation and
before meals may prevent infection. Avoid unpeeled fruits and vegetables and use of clean
drinking water."
ENTEROBIASIS,"treatment
 Tab. mebendazole 100 mg as a single dose in adults and children more than 2 years of
age. (Contraindicated in pregnancy and in children below one year of age). Or Tab.
pyrantel pamoate 11 mg/kg body weight as a single dose. Or Tab. albendazole 400 mg as
a single dose.
 Children (1-2 years) Syr. albendazole 200 mg as a single dose; More than 2 years 400 mg
as a single dose.
 Repeat treatment after two weeks.
Assessment of response of worm infestation to therapy
 Repeat stool, perianal swab examination for ova of Enterobius vermicularis.
 Absolute eosinophil count, haemoglobin and peripheral blood smear examination at
monthly intervals for 3-6 months.
 Serum albumin level in hookworm infection.
Patient education
 Treatment of all family members is required to eliminate asymptomatic reservoirs of
potential re infection.
 Proper sanitation and good personal hygiene, hand washing with soap after defecation
and before meals may prevent infection.
 Infection can be minimized by avoidance of unpeeled fruits and vegetables and use of
clean drinking water. Regular washing and disinfection of linen."
FILARIASIS,"treatment
 Manual lymphoedema drainage
154
Infections
 Multilayer lymphoedema bandage
 Compression garments,exercise
 Skin care to prevent athlete foot with 3% benzoic acid, for dry skin paraffin ointment, for
hyperkeratosis 5% salicylic acid,
Pharmacological treatment
Tab.diethylcarbamazine 6mg/kg for 21 days .for acute cases and antipyretics for fever
Surgical treatment
 Bypass procedures
 Omental pedicle
 Nodovenous shunt
 Limb reduction procedures
155
Chapter 10"
EAR-WAX,"treatment
 For severe pain Tab. ibuprofen 400 mg SOS, in children 20 g/kg/day divided into 3 doses.
 Wax softener (turpentine oil - 15%, benzocaine - 2.7%), chlorbutol - 5%,
paradichlorobenzene-2%) 3-4 days before cleaning the ear when the wax is hard.
 Followed by surgical removal (to be carried out by an Otolaryngologist).
 Syringing with sterile saline solution at body temperature pushed along the posterior wall
of the meatus to take out the wax. The meatus should be mopped dry after syringing.
(Caution: if there is previous history of ear discharge or perforated drum or instrumental
manipulation with ringprobe, hook or forceps and suction cleaning).
Patient education
 Wax is a normal secretion and provides protection to the ear drum and should be removed
only if it disturbs hearing.
 Avoid cleaning the ear with buds as it can push the wax to the deeper canal.
References
1. Diseases of the External Ear. In: Logan Turner's Diseases of the Nose, Throat and Ear, 10th Edition, pp
265-67."
KERATOSIS OBTURANS,"Treatment
 Initially soften the mass with sodium bicarbonate ear drops daily for several days
followed by syringing.
 Removal under general anaesthesia using microscope."
FURUNCLE,"treatment
 Local heat
Pharmacological treatment
 10% ichthamol in glycerine wick pack or antibiotic steroid cream wick pack (polymyxin
B sulphate 500 IU, neomycin sulphate 3400 IU, zinc bacitracin 400 IU, hydrocortisone 10
mg, per g) wick packing to be done on alternate day till swelling subsides followed by/or
 Local ear drops (polymyxin B sulphate 1000 U, neomycin sulphate 3400 U,
hydrocortisone 10 mg/ml).
 Systemic antibacterial like Cap. amoxicillin 500mg TDS 5-7 days or azithromycin 500mg
ODfor 3-5 days antibiotics
 Tab. ibuprofen 400 mg as and when required or Tab. nimesulide 100 mg twice a day.
 Incision and drainage may be necessary in some cases.
Patient education
 Patients with recurrent boils, diabetes mellitus should be ruled out
 Avoid ear picking.
157
ENT Diseases"
OTOMYCOSIS,"treatment
 Regular ear toilet-by suction/dry mopping/instrumentation.
Pharmacological treatment
 Topical clotrimazole as 1% powder or liquid 3 - 4 times a day to be continued for at least
aweek after clinical resolution of the infection.
 Tab. ibuprofen 400 mg as and when required. In children 20 mg/kg/day in 3 divided
doses.
Patient education
 Ear is to be kept dry; entry of water into the ear should be prevented.
References
1. Diseases ofthe External Ear. In: Logan Turner's Diseases of the Nose, Throat and Ear, 10th Edition, pp 274-
75.
2. External Auditory Meatus. In: Scott- Brown's Otolaryngology, JB Booth (ed) Vol 3, 6th Edition, 1997,
Butterworth-Heinemann, pp 3/6/14-15."
MALIGNANT OTITIS EXTERNA,"treatment
 Topical anti-pseudomonal antibacterials (ciprofloxacin, carbenicillin, amikacin,
tobramycin, ticarcillin, third generation cephalosporins)
 Surgical debridement of devitalised tissue and bone to be done judiciously."
ACUTE SUPPURATIVE OTITIS MEDIA,"treatment
 Steam inhalation and to keep the ear clean in case of pus discharge.
Pharmacological treatment
 Tab. paracetamol 500 mg SOS
 Cap. amoxicillin 250-500 mg 8 hourly for 7 days. In complicated cases and children <2
years duration of treatment 10 days or Cap. cephalexin 250-500 mg 8 hourly. In children
20-40 mg/kg/day in 3 divided doses. Switch antibiotics if no clinical improvement by 3rd
day.
 Xylometazoline HC1 0.1% 1-2 nasal drops in each nostril 1-2 times daily.
In Children (0.05%) 1-2 nasal drops 1-2 times daily or oxymetazoline 0.05% 1-2 nasal
drops in each nostril 2 times daily. In Children (0.01%) 1-2 drops 2 times daily.
"
CHRONIC SUPPURATIVE OTITIS MEDIA,"treatment
 Aural toilet by dry mopping or careful suction.
Pharmacological treatment
 Topical antibiotics like ciprofloxacin HC1 0.3% w/v ear drops 2-3 drops 3-4 times daily
 When associated with marked inflammation, add prednisolone 0.5% + chloramphenicol
5% + lignocaine 2% + acetic acid 2% to be used as 3-4 drops 3-4 times daily.
 For profuse mucopurulent discharge and associated upper respiratory tract infection
(URTI), Cap. amoxicillin 750-1500 mg in 3 divided doses. In children 20-40 mg/kg in 3
divided doses. The choice of antibiotic depends on the culture and sensitivity report.
Surgical treatment
 Once the ear is dry and any local nidus of infection has been treated the ear can be taken
up for myringoplasty after assessing the hearing status.
Patient education
 Avoid water or dust to enter the ear. Explain the patient to take immediate treatment in
case of URTI. Not to instill oil if there is a discharge from the ear or if the patient is
known to have perforation of ear drum.
160
ENT Diseases
References
1. Diseases of the External Ear. In: Logan Turner's Diseases ofthe Nose, Throat and ear 10th Edition, pp 271-
73.
2. Management of Chronic Suppurative Otitis Media. In: Scott Brown's Otolaryngology', JB Boothy (ed), Vol
3, 6th Edition, 1997, pp 3/10/1-11."
SEROUS OTITIS MEDIA,"treatment
 Cap. amoxycillin 250 mg with clavulanic acid 375 mg, TDS beforemeals for 21 days.
 Tab.pseudoephedrine120 mg 8 hourly. In children 1-2 mg/kg twice daily.
Surgical treatment
 For patients not responding to long term pharmacological measures. This include
myringotomy with or without grommet insertion, adenoidectomy, treatment for sinusitis
and even mastoidotomy in refractory cases.
Patient education
 Do not instill oil in the ear.
References
1. Management of Chronic Otitis Media. In: Scott Brown's Otolaryngology, JB Booth (ed), Vol. 3, 6th
Edition, 1997, Butterworth-Heinemann, pp 3/9/1-15."
ACUTE SINUSITIS,"treatment
 Steam inhalation via nose 2-3 times/dayfor 2-3 days and rest.
Pharmacological treatment
 Tab. paracetamol 500 mg 3-4 times a day for 5 days (children 10 kg/dose) or Tab.
ibuprofen 400 mg-600 mg 3 times a day for 5 days (children 10 mg/kg/dose.)
 Cap. amoxicillin 500 mg 8 hourly for 5-7 days (children 50 mg/kg/day).
Sinusitis of dental origin
 Cap. amoxicillin 500 mg 3 times a day for 5-7 days.
 Tab. metronidazole 400 mg 3 times a day for 5-7 days.
 Tab. bromhexine 8 mg 3 times a day for 7 days.
If nasal obstruction or rhinorrhoea,
 Normal saline nasal 1-2 drops in each nostril 2-3 times a day. Or ephedrine 0.75% nasal
drops in isotonic saline 1-2 drops in each nostril 2 times a day. In children 0.5% 1-2 drops
in each nostril 2 times daily. Or oxymetazoline HCl 0.05% nasal drops. 1-2 drops in each
nostril 2 times a day. In children 0.025% 1-2 drops in each nostril 2 times daily.
 Xylometazoline 0.1% nasal drops 2-3 drops in each nostril 2-3 times a day. In Children
0.05% 1-2 drops in each nostril 2 times daily.
(Caution: Medicated nasal drops should not be used for more than 7 days).
Improvement is seen in symptoms viz. pain tenderness, nasal obstruction and discharge
within 48-72 hours after initiation of therapy. If there is no desirable response patient should
be referred to an Otolaryngologist.
Patient education
 To take full course of systemic antibiotics to avoid the risk of developing antimicrobial
resistance.
 Prolonged use of topical decongestants more than a week to be avoided as it can cause
atrophic rhinitis, anosmia and rhinitis medicamentosa.
References
1. Acute Rhinosinusitis. In: Logan Turner's Diseases of Nose, Throat and Ear. 10th Edition pp 34-6."
EPISTAXIS,"Treatment
 Resuscitative measures if clinical parameters suggestive of hemodynamic compromise
 Cauterization
 Anterior and posterior nasal packing
 Surgical – endoscopic cautery and ligation of vessels
Patient education
 Avoid insertingfingers into the nose, especially children.
 As first aid, explain how to pinch the nose tightly and apply ice pack over the nose, while
waiting for proper medical attention.
References
1. Epistaxis. In: Scott Brown's Otolaryngology, IS MacKay and TR Bull (eds) Vd4, 6th Edition, 1997,
London: Buttcrworths. pp 4/18/1-19."
